Ticker,Name,Quantity,Market Value
NVDA,NVIDIA Corp,0.491323,72.31
IWDA.L,iShares Core MSCI World UCITS ETF,0.428629,45.93
AEMD.L,Aethlon Medical Inc,0.629127,38.49
MSFT,Microsoft Corp,0.139998,36.98
GOOGL,Alphabet Inc,0.108624,29.26
IONQ,IonQ Inc,0.957193,25.87
VRDN,Viridian Therapeutics Inc,1.692801,23.53
VUAA.L,Vanguard S&P 500 UCITS ETF,0.210181,22.69
APLD,Applied Digital Corp,1.084604,21.85
AAPL,Apple Inc,0.097,17.57
PLTR,Palantir Technologies Inc,0.135272,12.69
AMZN,Amazon Inc,0.069491,10.73
SEC0.DE,iShares MSCI Global Semiconductors UCITS ETF,0.711762,9.72
STX,Seagate Technology,0.013725,8.42
MELI,MercadoLibre Inc,0.005557,7.83
GE,General Electric,0.02,7.64
ARM,Arm Holdings,0.044092,7.61
CSX,CSX Corporation,0.0423,4.23
CASH,Revolut Cash Balance,0.0,5.91
DXCM,DexCom,0.09,6.36
BBVA,Bianco Bilbao Vizcaya Argentaria ,0.32,6.9
CA.PA,Carrefour SA ,0.25,3.47
